chapter	canonical_path	canonical_sha256	protected_git_blob_sha1	pedagogy_path	pedagogy_sha256	composed_sha256
VII/01	books/vol07_differential_geometry/chapters/ch01_topological_manifolds/chapter.tex	0912989f71def8a4797dba13fe1a2e8a9f08d5f5328695b1d162b2a199c8108e	f242ec40dc9fa5af05f97e833683dc31dfbe5a65	books/vol07_differential_geometry/chapters/ch01_topological_manifolds/pedagogy_expansion.tex	b01162661194ec0135ab01b4b96681c9f9f0f1ed5b53695bb3855ef43e92588c	5cd50734dda270704c681ce99aabff603ebcb6f55a52052ac08fcfe44b7e92db
VII/02	books/vol07_differential_geometry/chapters/ch02_smooth_structures_and_atlases/chapter.tex	793a2e7d1f0e3a6508f202d6137473104ffd9817c7a6196bc996d76cb7819c8c	3b10faa7afb92460479923a447d47d09692f139c	books/vol07_differential_geometry/chapters/ch02_smooth_structures_and_atlases/pedagogy_expansion.tex	9a45dd943e3c98b0f89c6bd330c77c026e74cc68c6dd95304fcab638481ea128	061d4d80db59723aaa22123ce504ab8ea41e28fa5a251dfc7c0c47c93b2a4363
VII/03	books/vol07_differential_geometry/chapters/ch03_smooth_maps_and_diffeomorphisms/chapter.tex	4c4a87ac4e69fcdeecbd55cd63a5215b7480c7eb330ceb8a11bbbdf6f077c084	aa93a062a7a7f65f30b0152ff331feada281776e	books/vol07_differential_geometry/chapters/ch03_smooth_maps_and_diffeomorphisms/pedagogy_expansion.tex	25f37b1f112b3f0efee4e0b270c6f7dfb5522856f783f76cd66570432f754962	3c817449fc85cbbada9ef1a1f3cfe65ec7653c677d5fd45ebe0639fa3690bc34
VII/04	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/chapter.tex	964f78165743f3809cd89e5cae965a0ffe91d9d605bb76cab416346f599cfc77	4baa475b0c60615173a2877f628d449322e798cd	books/vol07_differential_geometry/chapters/ch04_tangent_spaces/pedagogy_expansion.tex	9360b35e626fc30b82e12f55ba92993cb5978c43d26b8ff37c7ff8b91109433b	06e0ac804ea25321f886a7efb2579753e54d523a07ef540d422712fe77912627
VII/05	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/chapter.tex	b80128fc09804e551f0ae11d1d18f596113a8fe7ae481425795cc587f811d799	2e16720e112bfc99a1ced9188a1b56e66d3ee980	books/vol07_differential_geometry/chapters/ch05_cotangent_spaces/pedagogy_expansion.tex	8eea1cc34264ff2e778273b2e7e89a28f8e1726012770a21ba25e203db8b8ff7	c5ac4c3bd0c83667c102bf35de71b3e2dbc50486d89ae075dc2a7fed0e43ddc8
VII/06	books/vol07_differential_geometry/chapters/ch06_submanifolds_and_products/chapter.tex	4c2fce05fe1642d263aa89d48701400bccbbbbe19529f580ef8809dba0598f5f	f52e47f09f95042dad6adb3ca2b3c5222ae73244	books/vol07_differential_geometry/chapters/ch06_submanifolds_and_products/pedagogy_expansion.tex	b88202c2977fe7715917e4df1c8aba9c5ed64d5f23b8b8ce6c2eb2cde9c56ced	c0ddaa8446fa6ad25da9158aed26c16cc5c07ac34b02f36de1d7f83e87126e86
VII/07	books/vol07_differential_geometry/chapters/ch07_vector_bundles/chapter.tex	42d0e3742a03e750de3700f3ae5d55607f42dd2a8b8d337bf186955e73a2e425	f55c36c8e46a0071ea74a1eacc8015c0225ba258	books/vol07_differential_geometry/chapters/ch07_vector_bundles/pedagogy_expansion.tex	20cd06e2b6b45e28f492d5f91cefe4d5f6689e01313447c380b6eddc6fa746ea	d89b64dbcd51ce7b6fee45df4e5667c0d6c51fbe2df8befab45c34b54d7c2a0b
VII/08	books/vol07_differential_geometry/chapters/ch08_principal_and_frame_bundles/chapter.tex	0d3473569525ff7ef37fa9a54de65bdd2604ff9948d24e78e14ff5532359b132	b61485a7abe63633dbcc06e3dda87df33e31d23a	books/vol07_differential_geometry/chapters/ch08_principal_and_frame_bundles/pedagogy_expansion.tex	f15cbf933c420252583aa20af6cf5b6d5f260481574c6d762457dcaad586b570	c369a17e6d23244dd0126557385d8184020073448a45e63d73bdfc18fcc5f28c
VII/09	books/vol07_differential_geometry/chapters/ch09_differential_forms/chapter.tex	0210a4af8622331394f788554a58260c59f484b6f087d3cd3304b65c95d61165	b87cd06931239ea23ce4840ea046258ba7cc4bac	books/vol07_differential_geometry/chapters/ch09_differential_forms/pedagogy_expansion.tex	d4761417395a62a1408651f2e0c0f118f4c1917f6eabeac08bef959543dbe74a	9a8e8838d40fb774dc0baf4ea91d8928cb3ebc71376fabeec7eb7e2e61ac652b
VII/10	books/vol07_differential_geometry/chapters/ch10_orientation_and_integration/chapter.tex	bc0a9aeb2ea127536ad97b52acd4e2e094c07f678931d84382cf76ff01587891	d6e63b58ebb805c9dd7801421b13d9ab715996b2	books/vol07_differential_geometry/chapters/ch10_orientation_and_integration/pedagogy_expansion.tex	eff985687ca5cc52229f2116a39d507b42695ee1e08c7873e57a6b3faca6447e	3116ee88cf0de519f21e191657787ea1620f3df8c66781ccb585480a540664b5
VII/11	books/vol07_differential_geometry/chapters/ch11_stokes_theorem/chapter.tex	4d7841917147eb47019e4aa02a0f2adb593dc9e8b8ebb5797b232f550f47e88e	576084231d5809846c61a19ce25ebedddd94cd91	books/vol07_differential_geometry/chapters/ch11_stokes_theorem/pedagogy_expansion.tex	cb07afb417e718f81491fc1c0e56126a38c1868b04565cc938fd51f9d22d6b64	2188a330990ff73c992c6c5c4a988fdb2768e49bc2e3dabd1819609e2e21da5e
VII/12	books/vol07_differential_geometry/chapters/ch12_regular_curves/chapter.tex	604739a5ce7cc2b62a8ba45d9648580302c814035c0bdd72e79aebf24aa635a5	c4b0ef110a9519393e6c7809d72ce58d218576f6	books/vol07_differential_geometry/chapters/ch12_regular_curves/pedagogy_expansion.tex	d7c5a43405c4f43762480a1b972002d4932046ea0d4fb8abc5059b5d4a7d38bd	5ab0b2117cb055b9528c40fbeccfaf2f801866c3622c3afa4c4fcabcd8f2cfc2
VII/13	books/vol07_differential_geometry/chapters/ch13_frenet_frames_curvature_and_torsion/chapter.tex	203e98212e64c8488f624d06531a11b55682d16e0050122275b72cb214c2ac58	d65ba789ba1237dd2cb5b29bb8056c1876c62090	books/vol07_differential_geometry/chapters/ch13_frenet_frames_curvature_and_torsion/pedagogy_expansion.tex	8f9ae2a8b9e0daa874d97d2be4b841daddaf27a312f43f0cd70ebd7c20a9f5d0	42bd65d41a2a4fa0c76e84a835688fadf66eae078816457c561e2820ef735171
VII/14	books/vol07_differential_geometry/chapters/ch14_regular_surfaces/chapter.tex	c2b47b412abd660d09c829a8374fec7c7bea4436705011e7d2262d7dd07cba42	89251adf9a9fae39eede551164e408a49d41a099	books/vol07_differential_geometry/chapters/ch14_regular_surfaces/pedagogy_expansion.tex	b96188b67304a525b108ceb281437992a39b849855495a3301716dc3bd1669fa	721efee7cd52498b90b7a9221d99bcd803d56c5ac06436c6de588764475010bd
VII/15	books/vol07_differential_geometry/chapters/ch15_first_and_second_fundamental_forms/chapter.tex	b8f5951b841ff94a03cbf097c327a2062d8360fd1bb2eafbd397f7ba7c44defa	9faab7602f8e81435f99fd515d0858df55b1e96f	books/vol07_differential_geometry/chapters/ch15_first_and_second_fundamental_forms/pedagogy_expansion.tex	acc8618bcc62e14e43d139be050f121ddff88bcc27be4898e72e9eebf5becc3c	6f04ce8e4564642d12e8087cf3794a58893d540e5c4c5a8158e4de492ceaa663
VII/16	books/vol07_differential_geometry/chapters/ch16_the_gauss_map_and_shape_operator/chapter.tex	da28de05742f0493cc0744c93cc083b10a7aec4c0f538974168bc02323f140c0	a3442f4ddefcbd95f0359502c057b95d4a634f74	books/vol07_differential_geometry/chapters/ch16_the_gauss_map_and_shape_operator/pedagogy_expansion.tex	770074e084ad47536970b665da9176ce893202cbb74248017cc95b2a62f62ab7	926a63e3e8ea2756bb84326fd98d679bcc9e7d63dcff8b8a654a9dddffce3712
